experiment_name,_runtime,_step,_timestamp,_wandb.runtime,arguana/MAP@10,arguana/MAP@3,arguana/NDCG@10,arguana/NDCG@3,arguana/Recall@10,arguana/Recall@3,arguana/precision@10,arguana/precision@3,climate-fever/MAP@10,climate-fever/MAP@3,climate-fever/NDCG@10,climate-fever/NDCG@3,climate-fever/Recall@10,climate-fever/Recall@3,climate-fever/precision@10,climate-fever/precision@3,cqadupstack/MAP@10,cqadupstack/MAP@3,cqadupstack/NDCG@10,cqadupstack/NDCG@3,cqadupstack/Recall@10,cqadupstack/Recall@3,cqadupstack/precision@10,cqadupstack/precision@3,dbpedia-entity/MAP@10,dbpedia-entity/MAP@3,dbpedia-entity/NDCG@10,dbpedia-entity/NDCG@3,dbpedia-entity/Recall@10,dbpedia-entity/Recall@3,dbpedia-entity/precision@10,dbpedia-entity/precision@3,fever/MAP@10,fever/MAP@3,fever/NDCG@10,fever/NDCG@3,fever/Recall@10,fever/Recall@3,fever/precision@10,fever/precision@3,fiqa/MAP@10,fiqa/MAP@3,fiqa/NDCG@10,fiqa/NDCG@3,fiqa/Recall@10,fiqa/Recall@3,fiqa/precision@10,fiqa/precision@3,germanquad/MAP@10,germanquad/MAP@3,germanquad/NDCG@10,germanquad/NDCG@3,germanquad/Recall@10,germanquad/Recall@3,germanquad/precision@10,germanquad/precision@3,hotpotqa/MAP@10,hotpotqa/MAP@3,hotpotqa/NDCG@10,hotpotqa/NDCG@3,hotpotqa/Recall@10,hotpotqa/Recall@3,hotpotqa/precision@10,hotpotqa/precision@3,msmarco/MAP@10,msmarco/MAP@3,msmarco/NDCG@10,msmarco/NDCG@3,msmarco/Recall@10,msmarco/Recall@3,msmarco/precision@10,msmarco/precision@3,nfcorpus/MAP@10,nfcorpus/MAP@3,nfcorpus/NDCG@10,nfcorpus/NDCG@3,nfcorpus/Recall@10,nfcorpus/Recall@3,nfcorpus/precision@10,nfcorpus/precision@3,nq/MAP@10,nq/MAP@3,nq/NDCG@10,nq/NDCG@3,nq/Recall@10,nq/Recall@3,nq/precision@10,nq/precision@3,quora/MAP@10,quora/MAP@3,quora/NDCG@10,quora/NDCG@3,quora/Recall@10,quora/Recall@3,quora/precision@10,quora/precision@3,scidocs/MAP@10,scidocs/MAP@3,scidocs/NDCG@10,scidocs/NDCG@3,scidocs/Recall@10,scidocs/Recall@3,scidocs/precision@10,scidocs/precision@3,scifact/MAP@10,scifact/MAP@3,scifact/NDCG@10,scifact/NDCG@3,scifact/Recall@10,scifact/Recall@3,scifact/precision@10,scifact/precision@3,trec-covid/MAP@10,trec-covid/MAP@3,trec-covid/NDCG@10,trec-covid/NDCG@3,trec-covid/Recall@10,trec-covid/Recall@3,trec-covid/precision@10,trec-covid/precision@3,webis-touche2020/MAP@10,webis-touche2020/MAP@3,webis-touche2020/NDCG@10,webis-touche2020/NDCG@3,webis-touche2020/Recall@10,webis-touche2020/Recall@3,webis-touche2020/precision@10,webis-touche2020/precision@3,Name,Runtime,k_kept_retrieved_passages,num_retrieved_passages
arctic-m,156227.20464587212,15,1714477498.604162,156230,0.4745,0.42651,0.56435,0.46415,0.85206,0.57326,0.08521,0.19109,0.2947,0.24835,0.39372,0.33432,0.45198,0.30225,0.12111,0.25081,0.382035,0.35181083333333335,0.43800833333333333,0.3881333333333333,0.5619200000000001,0.4240433333333333,0.07651999999999999,0.17883749999999998,0.21421,0.1531,0.44729,0.49147,0.26597,0.16634,0.3625,0.5275,0.85509,0.8443,0.89018,0.87455,0.95389,0.91198,0.10659,0.33338,0.34443,0.30573,0.42386,0.39084,0.49535,0.36379,0.11466,0.25874,0.10455,0.08896,0.13108,0.09825,0.21722,0.12524,0.02172,0.04175,0.65381,0.61765,0.7366,0.68721,0.77049,0.66232,0.1541,0.44155,0.34607,0.30633,0.41766,0.33694,0.63801,0.41927,0.0666,0.14446,0.14122,0.10395,0.36746,0.42187,0.17919,0.1134,0.2709,0.39628,0.55095,0.5093,0.62427,0.54746,0.82317,0.62621,0.09789,0.24295,0.83602,0.80706,0.87423,0.8457,0.94553,0.86319,0.13239,0.36947,0.12693,0.08968,0.21094,0.19875,0.22092,0.11167,0.109,0.18367,0.68581,0.65735,0.73452,0.68685,0.868,0.74211,0.098,0.26889,0.02069,0.00688,0.79651,0.83458,0.02253,0.0071,0.846,0.88667,0.13079,0.06863,0.31469,0.35894,0.19185,0.07961,0.27347,0.36735,,,,
arctic_10_bge_reranker,9383.383471012115,15,1714659913.7623851,9383,0.34425,0.2711,0.45863,0.30579,0.83144,0.40683,0.08314,0.13561,0.32246,0.28332,0.41703,0.37535,0.45198,0.33545,0.12111,0.28295,0.36700416666666663,0.33349416666666665,0.42632666666666674,0.3691175,0.5619200000000001,0.40498666666666666,0.07651999999999999,0.17071583333333332,0.22016,0.15633,0.45748,0.52246,0.26597,0.16855,0.3625,0.55917,0.90535,0.90025,0.92788,0.92303,0.95389,0.93882,0.10659,0.34528,0.35117,0.31114,0.43158,0.40283,0.49535,0.37195,0.11466,0.268,0.18801,0.18656,0.19542,0.1927,0.21722,0.21037,0.02172,0.07012,0.73964,0.73171,0.79371,0.78387,0.77049,0.7501,0.1541,0.50007,0.3894,0.35874,0.45176,0.39159,0.63801,0.4795,0.0666,0.1659,0.13793,0.10139,0.36588,0.42708,0.17919,0.11224,0.2709,0.40248,0.58373,0.54842,0.65034,0.59013,0.82317,0.6764,0.09789,0.26091,0.7411,0.69538,0.80296,0.7415,0.94553,0.78025,0.13239,0.3315,0.12017,0.08268,0.20408,0.18634,0.22092,0.10717,0.109,0.176,0.7097,0.68396,0.75151,0.70995,0.868,0.75822,0.098,0.27667,0.02135,0.00738,0.81233,0.89581,0.02253,0.00751,0.846,0.94667,0.13062,0.06823,0.31757,0.37617,0.19185,0.07868,0.27347,0.38095,,,,
arctic_20_bge_reranker,18164.03641104698,15,1714650509.980273,18164,0.27893,0.21989,0.3707,0.24621,0.67141,0.3229,0.06714,0.10763,0.32644,0.27506,0.42858,0.36787,0.48748,0.33067,0.13251,0.2797,0.35648250000000004,0.3239241666666667,0.4148433333333334,0.3578775,0.5485375,0.3908466666666666,0.0748225,0.16497833333333334,0.2334,0.15744,0.48499,0.52016,0.28989,0.17041,0.39625,0.5525,0.90689,0.90059,0.93054,0.92389,0.96076,0.94096,0.10794,0.34658,0.34765,0.30267,0.43306,0.39453,0.51481,0.36617,0.12037,0.26543,0.23516,0.2328,0.24532,0.24088,0.27544,0.26419,0.02754,0.08806,0.76703,0.75469,0.81972,0.80405,0.80898,0.77549,0.1618,0.51699,0.39515,0.35867,0.4658,0.39213,0.68093,0.48177,0.07117,0.16676,0.13409,0.10105,0.36072,0.42003,0.17207,0.1121,0.26718,0.39319,0.56542,0.5221,0.64221,0.56495,0.84987,0.6544,0.10136,0.2527,0.71501,0.67422,0.77515,0.71867,0.90955,0.75518,0.12619,0.31943,0.11161,0.07782,0.19134,0.17661,0.20685,0.1026,0.1019,0.16833,0.70403,0.68007,0.74497,0.70668,0.85922,0.75822,0.09733,0.27556,0.02209,0.00717,0.84497,0.88642,0.02318,0.00731,0.89,0.94,0.13081,0.06993,0.33221,0.38121,0.20302,0.0834,0.29592,0.39456,,,,
arctic_20_rank_zephyr,210789.37222528455,15,1714870724.1851993,210790,0.40984,0.36569,0.48987,0.3984,0.74609,0.4936,0.07461,0.16453,0.22301,0.17824,0.32036,0.24994,0.40141,0.23026,0.10697,0.19066,0.3909358333333333,0.36238583333333335,0.44449333333333335,0.39887333333333336,0.5603291666666667,0.43110833333333337,0.07733,0.1852325,0.23781,0.16643,0.4916,0.54286,0.28977,0.17938,0.39475,0.575,0.77566,0.7572,0.82017,0.78731,0.91816,0.82808,0.10258,0.30358,0.36972,0.33137,0.44338,0.41739,0.49177,0.3691,0.11636,0.27469,0.2089,0.20303,0.2238,0.21199,0.26957,0.23777,0.02696,0.07926,0.69014,0.66087,0.7652,0.72671,0.77569,0.69102,0.15514,0.46068,0.36595,0.32941,0.43332,0.35925,0.63961,0.43963,0.06675,0.15172,0.15229,0.11545,0.39008,0.46642,0.18333,0.12686,0.28452,0.44272,0.59645,0.56111,0.66422,0.60191,0.84309,0.68675,0.10078,0.26613,0.77548,0.74327,0.82003,0.78233,0.91724,0.81151,0.12868,0.34833,0.13173,0.09398,0.21294,0.20419,0.22323,0.11888,0.1102,0.19533,0.73618,0.71346,0.77733,0.74386,0.89144,0.80533,0.10067,0.29222,0.02235,0.00732,0.85918,0.90346,0.0236,0.00753,0.9,0.94667,0.1371,0.08406,0.34095,0.43765,0.19729,0.09378,0.28367,0.42857,,,,
arctic_40_bge_20_rank_zephyr,249767.27144694328,15,1715153756.361484,249768,0.30772,0.26055,0.38944,0.29147,0.6522,0.38122,0.06522,0.12707,0.22163,0.17004,0.32272,0.23863,0.41643,0.21767,0.11114,0.18089,0.37957,0.35140166666666667,0.43161083333333333,0.38625166666666666,0.5438916666666667,0.41683,0.07519333333333335,0.17854499999999998,0.24472,0.16581,0.50957,0.55435,0.29831,0.17795,0.415,0.585,0.77552,0.75524,0.82166,0.78546,0.92602,0.82691,0.10393,0.30393,0.37307,0.33093,0.45119,0.41994,0.51285,0.37663,0.12099,0.27881,0.26173,0.25294,0.28017,0.26292,0.33708,0.29159,0.03371,0.0972,0.73328,0.70795,0.80011,0.76696,0.80736,0.73383,0.16147,0.48922,0.38291,0.34781,0.45041,0.37924,0.65633,0.46354,0.06852,0.16022,0.1455,0.10961,0.38342,0.46032,0.17904,0.121,0.28142,0.43756,0.59231,0.55559,0.66067,0.59531,0.84074,0.67492,0.10055,0.26139,0.76921,0.73954,0.81167,0.77821,0.89865,0.80217,0.1252,0.34433,0.12562,0.09044,0.20512,0.19568,0.21447,0.11177,0.1057,0.18333,0.72379,0.70059,0.76477,0.72967,0.87756,0.78533,0.09933,0.28667,0.02232,0.00761,0.87062,0.9295,0.02331,0.00768,0.9,0.96667,0.14574,0.08578,0.34751,0.44323,0.19925,0.0928,0.27755,0.42857,,,,
arctic_40_bge_reranker,35798.62085580826,15,1714632326.5248358,35799,0.23271,0.18551,0.30664,0.20738,0.54836,0.27098,0.05484,0.09033,0.31854,0.26788,0.42285,0.36029,0.48779,0.32506,0.13238,0.27514,0.3440291666666666,0.31403749999999997,0.39913,0.3466291666666666,0.5237308333333334,0.3781075,0.07116583333333332,0.15926833333333332,0.23606,0.15582,0.49229,0.51866,0.29843,0.16807,0.408,0.55083,0.90673,0.89967,0.93064,0.92305,0.96161,0.93979,0.10815,0.34603,0.33336,0.28787,0.41949,0.37735,0.50818,0.35274,0.11852,0.25669,0.28958,0.28539,0.30391,0.29592,0.34687,0.32632,0.03469,0.10877,0.78397,0.76842,0.83608,0.81602,0.83484,0.79136,0.16697,0.52757,0.39772,0.36012,0.47058,0.39424,0.69298,0.4859,0.07244,0.1681,0.12818,0.09796,0.34993,0.41489,0.16259,0.11066,0.25666,0.39009,0.52421,0.47667,0.6062,0.51811,0.83147,0.60566,0.09913,0.23378,0.69603,0.65803,0.75399,0.70104,0.88051,0.73522,0.12111,0.31013,0.10443,0.07238,0.18069,0.16527,0.19405,0.09457,0.0957,0.15567,0.6894,0.66137,0.73297,0.68757,0.85478,0.73544,0.09667,0.26667,0.02098,0.0069,0.81929,0.85346,0.02252,0.00715,0.876,0.92,0.12209,0.06219,0.3198,0.35538,0.20243,0.07916,0.29592,0.38095,,,,
arctic_80_bge_reranker,70942.98170852661,15,1714593293.3536036,70943,0.20801,0.16868,0.27127,0.18813,0.47795,0.24467,0.0478,0.08156,0.30974,0.26113,0.41199,0.35162,0.47418,0.31838,0.1284,0.26797,0.3367708333333333,0.30903583333333334,0.38901499999999994,0.34071416666666665,0.5056449999999999,0.37109083333333337,0.06856666666666668,0.15614583333333337,0.23082,0.15152,0.48653,0.51058,0.29384,0.16376,0.40025,0.54083,0.90623,0.89927,0.93009,0.92265,0.96127,0.9397,0.10815,0.34618,0.31859,0.26804,0.40584,0.35121,0.50219,0.32487,0.11512,0.23508,0.34138,0.33521,0.36053,0.34826,0.41879,0.38601,0.04188,0.12867,0.79448,0.77629,0.84654,0.82294,0.85186,0.80027,0.17037,0.53351,0.39715,0.35854,0.47053,0.39239,0.69463,0.48308,0.07265,0.16724,0.12454,0.09502,0.34194,0.40474,0.16082,0.10869,0.25077,0.38184,0.46868,0.41923,0.5532,0.45904,0.79063,0.54582,0.09383,0.21002,0.68153,0.64525,0.7384,0.6872,0.86107,0.71946,0.11773,0.30307,0.09823,0.06929,0.17141,0.15953,0.1835,0.09187,0.0905,0.15133,0.69237,0.66581,0.73508,0.69177,0.85311,0.73878,0.09633,0.26778,0.02041,0.00635,0.79944,0.82408,0.02258,0.00678,0.874,0.89333,0.116,0.05977,0.29592,0.32726,0.1881,0.07433,0.27347,0.35374,,,,
baseline_bm25,679926.6324133873,29,1712519517.8416884,679930,0.23268,0.1982,0.29192,0.22085,0.48222,0.28663,0.04822,0.09554,0.06598,0.05602,0.09772,0.07816,0.12204,0.0735,0.02997,0.05581,0.18921166666666667,0.1809208333333333,0.20916916666666663,0.19545083333333335,0.24249749999999995,0.19987166666666667,0.03222583333333333,0.0845475,0.03682,0.02598,0.09939,0.11002,0.06119,0.03237,0.08975,0.13,0.28868,0.26,0.34216,0.28278,0.4956,0.33351,0.05389,0.11981,0.09894,0.0839,0.13634,0.1133,0.17735,0.10638,0.03843,0.07459,0.17387,0.15753,0.20412,0.16924,0.30186,0.20303,0.03019,0.06768,0.29294,0.27199,0.37022,0.33215,0.39507,0.30966,0.07901,0.20644,0.04839,0.04055,0.06128,0.0448,0.10092,0.05565,0.01057,0.01934,0.07326,0.05928,0.20208,0.24443,0.09267,0.0624,0.14365,0.22704,0.04441,0.03726,0.05705,0.04219,0.09144,0.05154,0.01083,0.02008,0.58374,0.55675,0.63553,0.59416,0.73967,0.62232,0.09652,0.2559,0.03579,0.02731,0.06442,0.06237,0.0666,0.03533,0.0327,0.058,0.46273,0.43852,0.50562,0.45896,0.62472,0.5,0.06833,0.17667,0.00807,0.00299,0.40482,0.43592,0.01069,0.00338,0.44,0.46667,0.07999,0.05052,0.23125,0.2958,0.12718,0.05859,0.20816,0.30612,,,,
bm25_10_bge_reranker,9139.317360401154,15,1714801245.2026484,9139,0.23925,0.20839,0.29367,0.23215,0.46586,0.30156,0.04659,0.10052,0.10488,0.10242,0.13436,0.13691,0.12204,0.11494,0.02997,0.09121,0.21134083333333337,0.2076908333333333,0.22686916666666665,0.22422666666666669,0.24249749999999995,0.2283758333333333,0.03222583333333333,0.09737666666666668,0.04942,0.04166,0.12003,0.16263,0.06119,0.04638,0.08975,0.18583,0.48734,0.48705,0.49579,0.49617,0.4956,0.49483,0.05389,0.17872,0.15009,0.14432,0.18074,0.18513,0.17735,0.1572,0.03843,0.1106,0.26721,0.26508,0.27601,0.27209,0.30186,0.29207,0.03019,0.09736,0.38908,0.38842,0.45003,0.44905,0.395,0.39291,0.079,0.26194,0.07949,0.07779,0.08562,0.08235,0.10078,0.09254,0.01056,0.03223,0.0799,0.06702,0.21839,0.28629,0.09284,0.07223,0.1452,0.258,0.08052,0.07969,0.0856,0.08419,0.09144,0.08806,0.01083,0.03447,0.65794,0.64463,0.6933,0.68175,0.74074,0.69673,0.09672,0.29217,0.04525,0.03909,0.07549,0.08823,0.0666,0.04835,0.0327,0.07967,0.56125,0.55505,0.58104,0.5717,0.62472,0.60111,0.06833,0.21556,0.00993,0.00495,0.46416,0.65408,0.01069,0.00515,0.44,0.7,0.09087,0.06143,0.26362,0.39192,0.12718,0.06962,0.20816,0.38095,,,,
bm25_20_bge_reranker,17769.564606428146,15,1714792085.2982495,17770,0.23322,0.19642,0.29425,0.21841,0.49075,0.28236,0.04908,0.09412,0.13236,0.12646,0.17061,0.16844,0.16045,0.1411,0.04026,0.11336,0.22429749999999996,0.2188941666666667,0.24299249999999992,0.2368825,0.2661691666666666,0.2433183333333334,0.0356,0.10354249999999998,0.0594,0.04642,0.1465,0.18918,0.07638,0.05111,0.1185,0.21333,0.56305,0.56246,0.57428,0.57439,0.57818,0.57649,0.06323,0.20917,0.167,0.15729,0.20385,0.20409,0.20896,0.17395,0.0463,0.12449,0.30143,0.29786,0.31504,0.30801,0.35568,0.33708,0.03557,0.11236,0.42943,0.42828,0.49209,0.49041,0.43795,0.4343,0.08759,0.28953,0.0957,0.09213,0.10493,0.09793,0.12957,0.11145,0.01361,0.03878,0.08499,0.07024,0.23355,0.30134,0.10063,0.07448,0.15759,0.27554,0.09362,0.09192,0.10034,0.09756,0.11008,0.1033,0.01318,0.04056,0.67712,0.65753,0.71838,0.69659,0.78551,0.71656,0.10414,0.30133,0.04891,0.04078,0.0834,0.09271,0.07752,0.05125,0.0381,0.08433,0.58772,0.5806,0.61218,0.60055,0.6725,0.64056,0.074,0.23111,0.01104,0.00479,0.52972,0.62335,0.01258,0.00504,0.55,0.68667,0.11857,0.07552,0.32004,0.44649,0.16591,0.08658,0.25918,0.44218,,,,
